"","Geneid","gene_symbol","CO_4hr_APAP_24hr_1.nTPM","CO_4hr_APAP_24hr_2.nTPM","CO_24hr_3.nTPM","CO_24hr_2.nTPM","CO_24hr_1.nTPM","Control_24hr_3.nTPM","Control_24hr_2.nTPM","Control_24hr_1.nTPM","CO_4hr_APAP_4hr_3.nTPM","CO_4hr_APAP_4hr_2.nTPM","CO_4hr_APAP_4hr_1.nTPM","CO_8hr_APAP_8hr_3.nTPM","CO_8hr_APAP_8hr_2.nTPM","CO_8hr_APAP_8hr_1.nTPM","CO_4hr_3.nTPM","CO_4hr_2.nTPM","CO_4hr_1.nTPM","APAP_4hr_3.nTPM","APAP_4hr_2.nTPM","APAP_4hr_1.nTPM","Control_3.nTPM","Control_2.nTPM","Control_1.nTPM","groupTest_CO_4hr_APAP_24hr_vs_Control.padj","groupTest_CO_4hr_APAP_24hr_vs_Control.significance","groupTest_CO_24hr_vs_Control.padj","groupTest_CO_24hr_vs_Control.significance","groupTest_Control_24hr_vs_Control.padj","groupTest_Control_24hr_vs_Control.significance","groupTest_CO_4hr_APAP_4hr_vs_Control.padj","groupTest_CO_4hr_APAP_4hr_vs_Control.significance","groupTest_CO_8hr_APAP_8hr_vs_Control.padj","groupTest_CO_8hr_APAP_8hr_vs_Control.significance","groupTest_CO_4hr_vs_Control.padj","groupTest_CO_4hr_vs_Control.significance","groupTest_APAP_4hr_vs_Control.padj","groupTest_APAP_4hr_vs_Control.significance","interactionTest_co_time_4hr_vs_0hr.padj","interactionTest_co_time_4hr_vs_0hr.significance","interactionTest_apap_time_4hr_vs_0hr.padj","interactionTest_apap_time_4hr_vs_0hr.significance","interactionTest_co_time4hr.apap_time4hr.padj","interactionTest_co_time4hr.apap_time4hr.significance"
"4044","ENSG00000112306.8","RPS12",7224.74338241773,7048.35802682687,4006.64963490878,4746.55339243036,4171.38559423497,3955.5239926709,4061.06232245982,4607.40408869094,3129.38590784706,2912.51333344365,2823.70603039878,3523.37464668245,3098.2928313322,2800.22806299971,2862.21024974117,3178.35325321903,2957.76075063147,3661.63105052642,3813.9632444203,3843.54568689991,3352.89324906422,3510.30595375627,3690.97654890466,3.23166280959226e-12,"upregulated",0.0768377762064433,"not significant",0.457407350131772,"not significant",0.371153176785733,"not significant",0.59361162719097,"not significant",0.690089011301507,"not significant",0.999546838479163,"not significant",0.396022436214339,"not significant",0.999537080780849,"not significant",0.998529711206311,"not significant"
"6882","ENSG00000134339.9","SAA2",45.4456458438658,48.9790022586846,130.040490608141,71.7546817346609,102.813221598054,92.2453765147877,65.9589204838123,83.4098301294429,391.955096952221,425.310671313749,433.405369787797,416.269442876215,354.370866769538,386.175455920809,436.830901531645,376.638440367879,365.499541812633,489.988486429159,422.40659419053,428.014603178559,555.534167788275,478.965837260119,411.29930793647,3.2561338940154e-12,"downregulated",5.11522071822555e-32,"downregulated",4.60179688019274e-53,"downregulated",0.778179706243449,"not significant",0.323485153606981,"not significant",0.783147733839542,"not significant",0.999546838479163,"not significant",0.396022436214339,"not significant",0.845336564097229,"not significant",0.869579430486538,"not significant"
"6768","ENSG00000133639.6","BTG1",249.458536140722,250.779505191922,87.3896537419616,78.1953968482387,57.4573116363822,70.7400545254001,86.468264258992,75.0258589930791,81.8160039968785,57.6783380911469,69.1023328092336,132.14665540902,115.995238386722,109.541001868219,95.7503877602721,61.4899752637708,116.202844206895,122.576161192752,97.6174690968447,107.455577875495,56.2104578026455,87.7952918688297,44.5635295383943,8.37763818518141e-12,"upregulated",0.600564579756657,"not significant",0.727778450161522,"not significant",0.918094067906696,"not significant",0.00274648397169781,"upregulated",0.57965396122652,"not significant",0.0387381077851506,"upregulated",0.595835420334165,"not significant",0.0989648079164931,"not significant",0.248146554034961,"not significant"
"23473","ENSG00000218175.2",NA,18802.7298111613,17142.3262919739,12253.5835048697,14381.1602886325,12369.0991689401,13815.3617791137,12853.4065499852,13841.4554857558,12564.1758121552,10402.3257282046,11860.8173712405,11738.6607517098,11906.7369610251,11001.4955965428,10934.0542743929,11254.8532687668,10269.7008927889,10545.7418685338,10274.257683391,10766.0930074107,10531.0400513828,8916.38379816321,10513.2077014919,1.13301011660282e-11,"upregulated",0.00144150352776106,"upregulated",0.00461189434986073,"upregulated",0.247170017659003,"not significant",0.436227966385776,"not significant",0.999863879244581,"not significant",0.999546838479163,"not significant",0.96942687538738,"not significant",0.999537080780849,"not significant",0.998529711206311,"not significant"
"3069","ENSG00000105281.13","SLC1A5",226.621748180488,269.828568789625,137.258856215964,81.3217791820557,61.3480054354057,91.4312738827677,92.9731279408005,72.2936433335738,52.6476704989923,44.2170824745749,64.4345730022042,101.100751096284,82.2069225381924,89.3385759097682,63.3464169764181,45.7231395987537,71.1909457442934,87.6292102754535,104.316747960322,93.7291286518092,59.5754220803827,56.9574637833046,66.8476573898064,1.61394166001588e-11,"upregulated",0.0782297846874971,"not significant",0.373075571848404,"not significant",0.914834951251029,"not significant",0.248267186363785,"not significant",0.999863879244581,"not significant",0.256669447140338,"not significant",0.997308293158036,"not significant",0.257319508520484,"not significant",0.704784819285407,"not significant"
"4833","ENSG00000118680.14","MYL12B",273.580347477419,198.573097764866,1027.47326073282,849.894007812537,829.774383298995,727.194564508277,731.741736267251,653.271877682391,798.433123980632,717.229785057455,708.409563248629,783.215832611976,870.313455413309,657.600163168887,745.40217257755,985.366239682147,741.765780424813,804.701883107908,779.206493308682,788.183824045231,810.752644404321,864.516158517954,890.573877023322,7.35438945798396e-11,"downregulated",0.782583644201285,"not significant",0.13948361737758,"not significant",0.742889336074378,"not significant",0.790359525389672,"not significant",0.999863879244581,"not significant",0.999546838479163,"not significant",0.980099613164294,"not significant",0.85262320536842,"not significant",0.998529711206311,"not significant"
"218","ENSG00000008394.13","MGST1",238.094623657498,99.3314546033206,552.17950746866,616.81263800335,678.992446589904,428.719183553387,521.692997671966,409.303413207559,432.244280189962,431.273869328551,518.643427195489,446.163723421069,415.609617333121,435.273287378163,462.760617563576,488.127085974211,493.271910985536,611.644316061706,534.187546026311,491.751747643358,670.190202067741,549.031061797078,620.347140115678,7.63602381421967e-11,"downregulated",0.959810975421593,"not significant",0.00453821347858707,"downregulated",0.102761027923305,"not significant",0.00416519925759956,"downregulated",0.468991252466994,"not significant",0.919236497967102,"not significant",0.25113597744269,"not significant",0.65362080298868,"not significant",0.974691854323003,"not significant"
"27415","ENSG00000227615.1",NA,8682.28243455189,9082.10641882466,5434.60883666523,4874.96958936696,5732.684465808,4909.74796323019,5149.23493778262,5992.45725168059,3937.64990617801,4175.70385330186,3595.00417842122,4478.10608903179,4234.09209887434,3345.68172454556,3806.32902079264,4095.96822883752,3349.89315701106,4452.48063575892,4028.20721088471,4048.84237773059,3946.32032554974,4294.96139688786,4279.83406847473,2.16210491014973e-10,"upregulated",0.0704140164831871,"not significant",0.245926328938841,"not significant",0.929448968795184,"not significant",0.946450689829963,"not significant",0.999863879244581,"not significant",0.999546838479163,"not significant",0.844218968077076,"not significant",0.999537080780849,"not significant",0.998529711206311,"not significant"
"4559","ENSG00000116285.13","ERRFI1",122.374655274979,150.730480167422,21.0101450836021,28.1045568447771,45.4321758244536,39.5592911463627,17.9980340765117,54.5465540913762,63.2556133321786,44.144708431007,81.670094678028,66.2096475152099,79.1703877288231,83.6876779115772,53.1059961989043,61.5357640995425,51.2570249125379,74.8981163188985,84.4958141057422,74.0166338923313,22.289520327305,30.3319397233973,18.3768652271918,5.28019452710989e-10,"upregulated",0.599808520701071,"not significant",0.398309315828361,"not significant",0.000279685780572429,"upregulated",2.33243251601956e-06,"upregulated",0.0155056242039194,"upregulated",4.91052679243069e-06,"upregulated",0.00213237782747817,"upregulated",9.16792216868904e-08,"upregulated",0.0540162366526047,"not significant"
"17568","ENSG00000197989.16","SNHG12",265.253405138882,49.0074186923599,50.0946357291155,14.8487827230015,9.23218076173463,20.9381752667436,24.0229765251008,10.432277812191,40.6707777600462,32.4971125529667,49.6505635765188,26.4365759910654,30.6845017082391,38.4346918574443,6.33939119469721,8.89213044348626,9.25852141305214,105.902153560392,78.6132095579868,57.4815286301593,12.551597829119,13.5912004069333,14.0837426253313,8.21007329139498e-10,"upregulated",0.281279564136361,"not significant",0.767663291968645,"not significant",0.0184014540988104,"upregulated",0.153557292155709,"not significant",0.972977369096663,"not significant",1.93014276928023e-06,"upregulated",0.663414885915861,"not significant",5.74904838016049e-11,"upregulated",0.998529711206311,"not significant"
