"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","cluster_id"
"70","GO:0000027","ribosomal large subunit assembly","3/54","26/21261",3.86352540936259e-05,0.00324683090058801,0.00278129006104085,"ENSG00000089009/ENSG00000172809/ENSG00000242485",3,"7"
"71","GO:0006364","rRNA processing","6/54","250/21261",4.00843321060248e-05,0.00324683090058801,0.00278129006104085,"ENSG00000105193/ENSG00000105372/ENSG00000136942/ENSG00000137154/ENSG00000164587/ENSG00000171863",6,"7"
"72","GO:0042273","ribosomal large subunit biogenesis","4/54","80/21261",5.09388181648307e-05,0.00380865625047811,0.00326255912294584,"ENSG00000089009/ENSG00000136942/ENSG00000172809/ENSG00000242485",4,"7"
"73","GO:0016072","rRNA metabolic process","6/54","292/21261",9.46474269647929e-05,0.00657123564355562,0.00562903118264295,"ENSG00000105193/ENSG00000105372/ENSG00000136942/ENSG00000137154/ENSG00000164587/ENSG00000171863",6,"7"
"74","GO:2001242","regulation of intrinsic apoptotic signaling pathway","5/54","205/21261",0.000171003130476686,0.0110810028548892,0.00949217376891637,"ENSG00000060138/ENSG00000133112/ENSG00000165637/ENSG00000170315/ENSG00000171863",5,"7"
"75","GO:1901796","regulation of signal transduction by p53 class mediator","4/54","114/21261",0.000201634864006304,0.012249317988383,0.0104929721992754,"ENSG00000125691/ENSG00000145592/ENSG00000170315/ENSG00000171863",4,"7"
"76","GO:0031396","regulation of protein ubiquitination","5/54","223/21261",0.000252649146805809,0.0144455865114851,0.012374332824978,"ENSG00000108106/ENSG00000125691/ENSG00000140988/ENSG00000170315/ENSG00000171863",5,"7"
"77","GO:0097193","intrinsic apoptotic signaling pathway","6/54","365/21261",0.000316743556402301,0.0171041520457243,0.0146517048604807,"ENSG00000060138/ENSG00000133112/ENSG00000165637/ENSG00000170315/ENSG00000171863/ENSG00000176171",6,"7"
"78","GO:0030490","maturation of SSU-rRNA","3/54","62/21261",0.000526830351796847,0.0269515316813966,0.0230871361923161,"ENSG00000105193/ENSG00000105372/ENSG00000164587",3,"7"
"79","GO:1903320","regulation of protein modification by small protein conjugation or removal","5/54","268/21261",0.00058555155189711,0.0284578054221995,0.0243774356605586,"ENSG00000108106/ENSG00000125691/ENSG00000140988/ENSG00000170315/ENSG00000171863",5,"7"
"80","GO:0051444","negative regulation of ubiquitin-protein transferase activity","2/54","15/21261",0.000650889524771039,0.0292202006493926,0.025030516259118,"ENSG00000125691/ENSG00000171863",2,"7"
"81","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process","3/54","67/21261",0.000661362566138516,0.0292202006493926,0.025030516259118,"ENSG00000125691/ENSG00000147677/ENSG00000171863",3,"7"
"82","GO:0001732","formation of cytoplasmic translation initiation complex","2/54","17/21261",0.000840315917296971,0.0355124813744633,0.0304205899579819,"ENSG00000147677/ENSG00000175390",2,"7"
"83","GO:0140694","non-membrane-bounded organelle assembly","6/54","466/21261",0.00113843883940797,0.0461067729960227,0.0394958386829694,"ENSG00000089009/ENSG00000105372/ENSG00000117650/ENSG00000164587/ENSG00000172809/ENSG00000242485",6,"7"
"84","GO:1903051","negative regulation of proteolysis involved in protein catabolic process","3/54","82/21261",0.00119024154987208,0.0462765914590265,0.0396413080399501,"ENSG00000125691/ENSG00000147677/ENSG00000171863",3,"7"
"85","GO:0045454","cell redox homeostasis","4/53","42/21261",3.59015931362159e-06,0.00453078105379044,0.00377155683683615,"ENSG00000100348/ENSG00000117450/ENSG00000123131/ENSG00000131871",4,"8"
"86","GO:1903241","U2-type prespliceosome assembly","5/52","24/21261",2.94767542288004e-09,3.05084406268084e-06,2.46363609028079e-06,"ENSG00000087365/ENSG00000125835/ENSG00000125870/ENSG00000167088/ENSG00000182004",5,"9"
"87","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","10/52","379/21261",2.3389592338857e-08,6.68175539097023e-06,5.3956916149813e-06,"ENSG00000087365/ENSG00000111786/ENSG00000125835/ENSG00000125870/ENSG00000131051/ENSG00000159140/ENSG00000165119/ENSG00000167088/ENSG00000169813/ENSG00000182004",10,"9"
"88","GO:0000398","mRNA splicing, via spliceosome","10/52","379/21261",2.3389592338857e-08,6.68175539097023e-06,5.3956916149813e-06,"ENSG00000087365/ENSG00000111786/ENSG00000125835/ENSG00000125870/ENSG00000131051/ENSG00000159140/ENSG00000165119/ENSG00000167088/ENSG00000169813/ENSG00000182004",10,"9"
"89","GO:0000375","RNA splicing, via transesterification reactions","10/52","383/21261",2.58232092404647e-08,6.68175539097023e-06,5.3956916149813e-06,"ENSG00000087365/ENSG00000111786/ENSG00000125835/ENSG00000125870/ENSG00000131051/ENSG00000159140/ENSG00000165119/ENSG00000167088/ENSG00000169813/ENSG00000182004",10,"9"
"90","GO:0000245","spliceosomal complex assembly","6/52","108/21261",2.51458262623393e-07,5.20518603630423e-05,4.20332337943103e-05,"ENSG00000087365/ENSG00000111786/ENSG00000125835/ENSG00000125870/ENSG00000167088/ENSG00000182004",6,"9"
"91","GO:0071826","protein-RNA complex organization","8/52","274/21261",3.16471602146841e-07,5.459135137033e-05,4.40839389657178e-05,"ENSG00000087365/ENSG00000111786/ENSG00000125835/ENSG00000125870/ENSG00000165280/ENSG00000167088/ENSG00000182004/ENSG00000253729",8,"9"
"92","GO:0022618","protein-RNA complex assembly","7/52","266/21261",3.66835896749866e-06,0.000542393075908731,0.000437996544390066,"ENSG00000087365/ENSG00000111786/ENSG00000125835/ENSG00000125870/ENSG00000167088/ENSG00000182004/ENSG00000253729",7,"9"
"93","GO:1904874","positive regulation of telomerase RNA localization to Cajal body","3/52","17/21261",9.15899510569964e-06,0.00118242876571756,0.000954842044220439,"ENSG00000115484/ENSG00000135624/ENSG00000182117",3,"9"
"94","GO:0006754","ATP biosynthetic process","5/52","119/21261",1.06319840678357e-05,0.00118242876571756,0.000954842044220439,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"95","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","5/52","129/21261",1.57300904653215e-05,0.00118242876571756,0.000954842044220439,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"96","GO:0009145","purine nucleoside triphosphate biosynthetic process","5/52","130/21261",1.6329203063171e-05,0.00118242876571756,0.000954842044220439,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"97","GO:0009060","aerobic respiration","6/52","222/21261",1.65151056384356e-05,0.00118242876571756,0.000954842044220439,"ENSG00000014641/ENSG00000110955/ENSG00000152234/ENSG00000165280/ENSG00000165283/ENSG00000182199",6,"9"
"98","GO:1904872","regulation of telomerase RNA localization to Cajal body","3/52","21/21261",1.77905117965076e-05,0.00118242876571756,0.000954842044220439,"ENSG00000115484/ENSG00000135624/ENSG00000182117",3,"9"
"99","GO:0009201","ribonucleoside triphosphate biosynthetic process","5/52","135/21261",1.95968139338527e-05,0.00118242876571756,0.000954842044220439,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"100","GO:0090670","RNA localization to Cajal body","3/52","22/21261",2.05639785342185e-05,0.00118242876571756,0.000954842044220439,"ENSG00000115484/ENSG00000135624/ENSG00000182117",3,"9"
"101","GO:0090671","telomerase RNA localization to Cajal body","3/52","22/21261",2.05639785342185e-05,0.00118242876571756,0.000954842044220439,"ENSG00000115484/ENSG00000135624/ENSG00000182117",3,"9"
"102","GO:0090672","telomerase RNA localization","3/52","22/21261",2.05639785342185e-05,0.00118242876571756,0.000954842044220439,"ENSG00000115484/ENSG00000135624/ENSG00000182117",3,"9"
"103","GO:0090685","RNA localization to nucleus","3/52","22/21261",2.05639785342185e-05,0.00118242876571756,0.000954842044220439,"ENSG00000115484/ENSG00000135624/ENSG00000182117",3,"9"
"104","GO:0009142","nucleoside triphosphate biosynthetic process","5/52","143/21261",2.58607303214777e-05,0.00140872925698576,0.00113758558865669,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"105","GO:0015980","energy derivation by oxidation of organic compounds","7/52","369/21261",3.06182094827079e-05,0.00158449234073014,0.00127951885943527,"ENSG00000014641/ENSG00000110955/ENSG00000114480/ENSG00000152234/ENSG00000165280/ENSG00000165283/ENSG00000182199",7,"9"
"106","GO:0046034","ATP metabolic process","5/52","164/21261",4.98152598019074e-05,0.0024257784057213,0.00195887928211819,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"107","GO:0045333","cellular respiration","6/52","272/21261",5.1562439541902e-05,0.0024257784057213,0.00195887928211819,"ENSG00000014641/ENSG00000110955/ENSG00000152234/ENSG00000165280/ENSG00000165283/ENSG00000182199",6,"9"
"108","GO:0006119","oxidative phosphorylation","5/52","171/21261",6.07622839153538e-05,0.00273430277619092,0.00220802075188974,"ENSG00000110955/ENSG00000152234/ENSG00000165280/ENSG00000165283/ENSG00000182199",5,"9"
"109","GO:0015986","proton motive force-driven ATP synthesis","4/52","91/21261",7.26551263423239e-05,0.00313325232351272,0.00253018290858795,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165283",4,"9"
"110","GO:0070536","protein K63-linked deubiquitination","3/52","34/21261",7.82668927086926e-05,0.00324024935813987,0.00261658580255587,"ENSG00000115233/ENSG00000165280/ENSG00000182199",3,"9"
"111","GO:0072522","purine-containing compound biosynthetic process","6/52","298/21261",8.53827861485702e-05,0.00329426461074175,0.00266020452675205,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283/ENSG00000182199",6,"9"
"112","GO:0010634","positive regulation of epithelial cell migration","5/52","184/21261",8.59373376715239e-05,0.00329426461074175,0.00266020452675205,"ENSG00000110955/ENSG00000113140/ENSG00000115310/ENSG00000136238/ENSG00000152234",5,"9"
"113","GO:0009205","purine ribonucleoside triphosphate metabolic process","5/52","187/21261",9.27447324825093e-05,0.00342824278997847,0.00276839539816212,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"114","GO:0009144","purine nucleoside triphosphate metabolic process","5/52","193/21261",0.000107599151422186,0.00368068561381624,0.00297224955745751,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"115","GO:0009199","ribonucleoside triphosphate metabolic process","5/52","194/21261",0.000110242757515269,0.00368068561381624,0.00297224955745751,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"116","GO:0043484","regulation of RNA splicing","5/52","194/21261",0.000110242757515269,0.00368068561381624,0.00297224955745751,"ENSG00000111786/ENSG00000131051/ENSG00000159140/ENSG00000165119/ENSG00000169813",5,"9"
"117","GO:0048024","regulation of mRNA splicing, via spliceosome","4/52","110/21261",0.00015166015501223,0.00490525813867681,0.0039611237855168,"ENSG00000111786/ENSG00000131051/ENSG00000159140/ENSG00000165119",4,"9"
"118","GO:0009141","nucleoside triphosphate metabolic process","5/52","210/21261",0.000159732028394293,0.00500977725418466,0.00404552569521751,"ENSG00000110955/ENSG00000135390/ENSG00000152234/ENSG00000165280/ENSG00000165283",5,"9"
"119","GO:0036260","RNA capping","3/52","47/21261",0.000207378296114952,0.00631283930820514,0.0050977822636307,"ENSG00000125835/ENSG00000167088/ENSG00000182004",3,"9"
