"","CO_4hr_APAP_24hr_vs_Control","CO_24hr_vs_Control","Control_24hr_vs_Control","CO_4hr_APAP_4hr_vs_Control","CO_8hr_APAP_8hr_vs_Control","CO_4hr_vs_Control","APAP_4hr_vs_Control","CO_4hr_APAP_24hr_vs_CO_24hr","CO_4hr_APAP_24hr_vs_Control_24hr","CO_4hr_APAP_24hr_vs_CO_4hr_APAP_4hr","CO_4hr_APAP_24hr_vs_CO_8hr_APAP_8hr","CO_4hr_APAP_24hr_vs_CO_4hr","CO_4hr_APAP_24hr_vs_APAP_4hr","CO_24hr_vs_Control_24hr","CO_24hr_vs_CO_4hr_APAP_4hr","CO_24hr_vs_CO_8hr_APAP_8hr","CO_24hr_vs_CO_4hr","CO_24hr_vs_APAP_4hr","CO_4hr_APAP_4hr_vs_Control_24hr","CO_8hr_APAP_8hr_vs_Control_24hr","CO_4hr_vs_Control_24hr","APAP_4hr_vs_Control_24hr","CO_8hr_APAP_8hr_vs_CO_4hr_APAP_4hr","CO_4hr_APAP_4hr_vs_CO_4hr","CO_4hr_APAP_4hr_vs_APAP_4hr","CO_8hr_APAP_8hr_vs_CO_4hr","CO_8hr_APAP_8hr_vs_APAP_4hr","APAP_4hr_vs_CO_4hr","sig_CO","sig_APAP","sig_CONDITIONED","sig_CO_4hr_APAP_24hr","sig_CO_24hr","sig_Control_24hr","sig_CO_4hr_APAP_4hr","sig_CO_8hr_APAP_8hr","sig_CO_4hr","sig_APAP_4hr","sig_Control","downreg_CO","downreg_APAP","downreg_CONDITIONED","downreg_CO_4hr_APAP_24hr","downreg_CO_24hr","downreg_Control_24hr","downreg_CO_4hr_APAP_4hr","downreg_CO_8hr_APAP_8hr","downreg_CO_4hr","downreg_APAP_4hr","downreg_Control","upreg_CO","upreg_APAP","upreg_CONDITIONED","upreg_CO_4hr_APAP_24hr","upreg_CO_24hr","upreg_Control_24hr","upreg_CO_4hr_APAP_4hr","upreg_CO_8hr_APAP_8hr","upreg_CO_4hr","upreg_APAP_4hr","upreg_Control","significance_entropy","downregulation_entropy","upregulation_entropy","sign_CO","sign_APAP","sign_CONDITIONED","sign_CO_4hr_APAP_24hr","sign_CO_24hr","sign_Control_24hr","sign_CO_4hr_APAP_4hr","sign_CO_8hr_APAP_8hr","sign_CO_4hr","sign_APAP_4hr","sign_Control","switch_CO","switch_APAP","switch_CONDITIONED","switch_CO_4hr_APAP_24hr","switch_CO_24hr","switch_Control_24hr","switch_CO_4hr_APAP_4hr","switch_CO_8hr_APAP_8hr","switch_CO_4hr","switch_APAP_4hr","switch_Control"
"ENSG00000187678",2.16829492369891,4.33701421756796,3.96422009821358,5.87785235940049,4.79031211248269,3.69139743073525,2.58618494419881,-2.16871929386905,-1.79592517451467,-3.70955743570158,-2.62201718878378,-1.52310250703634,-0.417890020499903,0.372794119354383,-1.54083814183253,-0.453297894914728,0.645616786832708,1.75082927336915,1.91363226118691,0.826092014269111,-0.272822667478325,-1.37803515401477,-1.0875402469178,2.18645492866524,3.29166741520168,1.09891468174744,2.20412716828388,-1.10521248653644,0,0,0.0625,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.142857142857143,0,0,0.142857142857143,1.58496250072116,0,1.58496250072116,0,0,1,0,0,0,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000187790",-0.58661103527131,-1.08375610758243,0.133674381572072,-0.513194917816781,-2.6841775818082,-1.82511440064102,-1.04652279529233,0.497145072311124,-0.720285416843382,-0.0734161174545288,2.09756654653689,1.23850336536971,0.459911760021024,-1.21743048915451,-0.570561189765653,1.60042147422576,0.74135829305859,-0.0372333122900998,-0.646869299388853,-2.81785196338027,-1.9587887822131,-1.18019717686441,-2.17098266399142,1.31191948282424,0.533327877475553,-0.859063181167174,-1.63765478651586,0.77859160534869,0,0,0.125,0,0,0.142857142857143,0,0.285714285714286,0,0,0.142857142857143,0,0,0.125,0,0,0.142857142857143,0,0.285714285714286,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,1.91829583405449,1.91829583405449,0,0,0,-1,0,0,-1,0,-1,0,0,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ENSG00000187866",-0.217995957610951,0.720016346405383,-0.966384977489569,-2.04752592359512,-0.633805191354764,-1.54076925279528,-1.60595096595329,-0.938012304016334,0.748389019878618,1.82952996598417,0.415809233743813,1.32277329518433,1.38795500834234,1.68640132389495,2.7675422700005,1.35382153776015,2.26078559920067,2.32596731235867,-1.08114094610555,0.332579786134805,-0.574384275305715,-0.63956598846372,1.41372073224035,-0.506756670799833,-0.441574957641828,0.906964061440521,0.972145774598525,-0.0651817131580048,0,0,0.125,0,0.285714285714286,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.285714285714286,0,0.142857142857143,0,0,0.142857142857143,0,1.91829583405449,0,1.91829583405449,0,0,1,0,1,0,1,0,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188015",1.03025643020805,-0.713859939478801,-1.32982044533326,-0.753317171380423,0.309143992198227,0.488079112725136,-0.258687605104675,1.74411636968685,2.36007687554131,1.78357360158847,0.721112438009822,0.542177317482913,1.28894403531272,0.615960505854463,0.0394572319016221,-1.02300393167703,-1.20193905220394,-0.455172334374126,0.576503273952842,1.63896443753149,1.8178995580584,1.07113284022859,1.06246116357865,-1.24139628410556,-0.494629566275748,-0.178935120526908,0.567831597302903,-0.746766717829811,0.166666666666667,0,0.125,0.142857142857143,0,0.428571428571429,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.125,0.142857142857143,0,0.428571428571429,0,0.142857142857143,0.142857142857143,0,0,2.41938194564637,0,2.41938194564637,1,0,1,1,0,1,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188042",1.70200265387234,1.4026334010779,-0.23123452433614,0.894851714156717,2.78355131417279,0.983920012545072,1.92086091314143,0.299369252794434,1.93323717820848,0.807150939715621,-1.08154866030045,0.718082641327267,-0.218858259269087,1.63386792541404,0.507781686921187,-1.38091791309489,0.418713388532833,-0.518227512063521,1.12608623849286,3.01478583850893,1.21515453688121,2.15209543747756,1.88869960001607,-0.0890682983883547,-1.02600919898471,1.79963130162772,0.862690401031365,0.936940900596354,0,0.2,0.125,0,0,0.285714285714286,0,0.285714285714286,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.125,0,0,0.285714285714286,0,0.285714285714286,0,0.142857142857143,0.142857142857143,2.50325833477565,0,2.50325833477565,0,1,1,0,0,1,0,1,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"ENSG00000188153",-4.45915987908639,-0.5926561949573,-0.816075151029158,0.422706384091191,0.374102188198351,-0.635534559209313,-0.622201117706789,-3.86650368412909,-3.64308472805724,-4.88186626317759,-4.83326206728475,-3.82362531987708,-3.83695876137961,0.223418956071858,-1.01536257904849,-0.966758383155652,0.0428783642520125,0.0295449227494889,1.23878153512035,1.19017733922751,0.180540591819845,0.193874033322369,-0.0486041958928392,1.0582409433005,1.04490750179798,1.00963674740766,0.99630330590514,0.0133334415025237,0,0.2,0.125,0.428571428571429,0,0,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0.2,0.125,0.428571428571429,0,0,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,2.41938194564637,2.41938194564637,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188171",0.00867252999387675,1.15035940771521,1.37809395255784,-4.3957380419621,1.60563411996209,1.00295632256497,1.16411498807963,-1.14168687772133,-1.36942142256396,4.40441057195598,-1.59696158996822,-0.994283792571091,-1.15544245808575,-0.227734544842628,5.54609744967731,-0.455274712246882,0.147403085150243,-0.01375558036442,-5.77383199451994,0.227540167404254,-0.375137629992871,-0.213978964478208,6.00137216192419,-5.39869436452707,-5.55985303004173,0.602677797397125,0.441519131882462,0.161158665514663,0,0,0.125,0,0.142857142857143,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0.0625,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0.0625,0,0.142857142857143,0,0.142857142857143,0,0,0,0,1.91829583405449,1.58496250072116,1.58496250072116,0,0,0,0,1,-1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188229",-0.375663195941724,-0.0990638725743081,-0.481816448051392,0.267623118734748,0.117297851451076,0.245006584696035,0.137667227557068,-0.276599323367416,0.106153252109668,-0.643286314676472,-0.4929610473928,-0.620669780637759,-0.513330423498792,0.382752575477084,-0.366686991309056,-0.216361724025384,-0.344070457270343,-0.236731100131376,0.74943956678614,0.599114299502468,0.726823032747427,0.61948367560846,-0.150325267283672,0.0226165340387133,0.12995589117768,-0.127708733244959,-0.0203693761059916,-0.107339357138967,0.166666666666667,0.2,0.125,0,0,0.714285714285714,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0,0,0.142857142857143,0.166666666666667,0.2,0.125,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,2.83523774531212,1,2.75162916738782,1,1,1,0,0,0.6,1,1,1,1,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188243",-0.352417360718354,0.18666482341834,0.286450133639657,-0.529855678856882,-0.302732789294063,-0.295254584185849,-0.172112185056861,-0.539082184136694,-0.638867494358011,0.177438318138528,-0.0496845714242916,-0.0571627765325056,-0.180305175661494,-0.0997853102213169,0.716520502275222,0.489397612712403,0.481919407604189,0.358777008475201,-0.816305812496539,-0.58918292293372,-0.581704717825506,-0.458562318696518,0.227122889562819,-0.234601094671033,-0.357743493800021,-0.00747820510821394,-0.130620604237202,0.123142399128988,0.166666666666667,0,0.1875,0,0.142857142857143,0.428571428571429,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0.166666666666667,0,0.125,0,0,0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0.0625,0,0.142857142857143,0,0.142857142857143,0,0,0,0,2.62581458369391,2.41938194564637,1.58496250072116,-1,0,-0.333333333333333,0,1,-1,0,-1,-1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188290",2.1665260782823,1.17977786663264,-0.261374201782295,0.18076212558248,1.52367137550475,1.21037925769785,0.330289019262248,0.986748211649656,2.42790028006459,1.98576395269982,0.642854702777547,0.956146820584446,1.83623705902005,1.44115206841493,0.999015741050159,-0.343893508872108,-0.0306013910652093,0.849488847370392,0.442136327364775,1.78504557728704,1.47175345948014,0.591663221044542,1.34290924992227,-1.02961713211537,-0.149526893679767,0.313292117806899,1.1933823562425,-0.880090238435601,0.166666666666667,0.2,0.3125,0.571428571428571,0,0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.2,0.3125,0.571428571428571,0,0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,3.04162561436922,0,3.04162561436922,1,1,1,1,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"ENSG00000188313",-1.35347101021667,-1.77582233966183,-0.381077352657315,0.047580258853304,-0.220250503268798,-0.663295331883993,-0.209419948930127,0.422351329445158,-0.972393657559357,-1.40105126906998,-1.13322050694787,-0.690175678332679,-1.14405106128655,-1.39474498700452,-1.82340259851513,-1.55557183639303,-1.11252700777784,-1.5664023907317,0.428657611510619,0.160826849388517,-0.282217979226678,0.171657403727188,-0.267830762122102,0.710875590737297,0.257000207783431,0.443044828615195,-0.0108305543386711,0.453875382953866,0.5,0,0.1875,0,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.5,0,0.1875,0,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,2.77995000096154,2.77995000096154,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188342",-5.1511566458507,-0.37740253535574,-0.782583070723364,-0.313847898734365,-0.167912010407885,-0.686420944934707,0.0726249676199527,-4.77375411049496,-4.36857357512733,-4.83730874711633,-4.98324463544281,-4.46473570091599,-5.22378161347065,0.405180535367624,-0.0635546366213754,-0.209490524947855,0.309018409578966,-0.450027502975693,0.468735171988999,0.614671060315479,0.0961621257886574,0.855208038343317,0.14593588832648,0.372573046200342,-0.386472866354317,0.518508934526822,-0.240536978027837,0.759045912554659,0,0.4,0.3125,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.4,0.3125,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,2.80845433092923,2.80845433092923,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000188343",-1.05101874946765,1.67717518561222,1.28933981744076,-0.252963815590609,-0.688722520177176,-0.0421696909944099,-0.2941820246363,-2.72819393507987,-2.34035856690841,-0.798054933877042,-0.362296229290476,-1.00884905847324,-0.756836724831352,0.387835368171466,1.93013900120283,2.3658977057894,1.71934487660663,1.97135721024852,-1.54230363303137,-1.97806233761793,-1.33150950843517,-1.58352184207706,-0.435758704586567,-0.2107941245962,0.0412182090456901,-0.646552829182766,-0.394540495540876,-0.25201233364189,0,0,0.0625,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.142857142857143,0,0,0.142857142857143,0,0,0,1.58496250072116,0,1.58496250072116,0,0,1,0,1,0,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
