"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
16,0,100,0.25,7,3.07665554237356,3.92334445762644,0.635229925800382,0
16,0,100,0.3,6,3.12310058360218,2.87689941639782,0.569630030311565,0
16,1,20,0.15,21,3.83989475720138,17.1601052427986,0.680200046500564,0
16,1,20,0.2,19,3.87629042668768,15.1237095733123,0.673983953961625,0
16,1,20,0.25,15,3.93623783108868,11.0637621689113,NA,0
16,1,20,0.3,13,3.93772799176976,9.06227200823025,NA,0
16,1,30,0.15,18,3.55059138570561,14.4494086142944,0.678688487058475,0
16,1,30,0.2,14,3.70776957460722,10.2922304253928,NA,0
16,1,30,0.25,13,3.67969073543226,9.32030926456774,NA,0
16,1,30,0.3,12,3.67674947060265,8.32325052939735,NA,0
16,1,40,0.15,14,3.11315767376667,10.8868423262333,0.687773508960448,0
16,1,40,0.2,10,3.23562591006108,6.76437408993892,0.604352004000841,0
16,1,40,0.25,10,3.23562591006108,6.76437408993892,0.596980859837297,0
16,1,40,0.3,9,3.19260972136994,5.80739027863006,0.594873511018257,0
16,1,50,0.15,13,2.91798218202154,10.0820178179785,0.685504389426856,0
16,1,50,0.2,10,3.00519140400917,6.99480859599083,0.644514484123317,0
16,1,50,0.25,9,3.11026414993053,5.88973585006947,0.592348413426369,0
16,1,50,0.3,8,3.10794433828053,4.89205566171947,NA,0
16,1,60,0.15,12,2.90169013935126,9.09830986064874,0.677159421500962,0
16,1,60,0.2,9,3.11097890215156,5.88902109784844,0.611723148164385,0
16,1,60,0.25,9,3.11097890215156,5.88902109784844,0.611723148164385,0
16,1,60,0.3,8,3.10856736000154,4.89143263999846,NA,0
16,1,70,0.15,10,2.82825603248807,7.17174396751193,0.686767365383846,0
16,1,70,0.2,9,2.92980873162303,6.07019126837697,0.673717353192422,0
16,1,70,0.25,7,3.08494497138088,3.91505502861912,0.620003295477693,0
16,1,70,0.3,6,3.12421104238929,2.87578895761071,NA,0
16,1,80,0.15,10,2.82825603248807,7.17174396751193,0.686767365383846,0
16,1,80,0.2,9,2.92980873162303,6.07019126837697,0.673717353192422,0
16,1,80,0.25,7,3.08494497138088,3.91505502861912,0.620003295477693,0
